timestamp,ax,ay,az,gx,gy,gz
2025-06-19T09:31:32.704182,3900,-16960,-1216,-2827,8821,-1291
2025-06-19T09:31:33.011732,-108,-18520,-4928,-5160,5635,1158
2025-06-19T09:31:33.316864,-24,-16244,-4580,3,-700,1988
2025-06-19T09:31:33.628061,992,-16700,-4472,-439,-746,-822
2025-06-19T09:31:33.932364,3532,-16104,-3736,1399,2539,-938
2025-06-19T09:31:34.239914,3336,-16580,-2896,-337,-3060,-1500
2025-06-19T09:31:34.547394,3208,-16200,-2248,617,-2697,600
2025-06-19T09:31:35.139703,2012,-16160,-2092,-1677,1721,682
2025-06-19T09:31:35.375989,-80,-16844,-2848,-514,661,221
2025-06-19T09:31:35.775395,220,-16776,-3164,-539,-170,-266
2025-06-19T09:31:36.082294,228,-16696,-3148,-716,-12,-237
2025-06-19T09:31:36.390840,900,-16652,-3256,-249,236,-1026
2025-06-19T09:31:36.696478,1228,-16600,-3076,-154,-520,-30
2025-06-19T09:31:37.004692,1384,-16632,-3348,-537,479,196
2025-06-19T09:31:37.273056,836,-16500,-3464,-653,1733,-440
2025-06-19T09:31:37.502651,1148,-16596,-3708,-1796,3052,-1352
2025-06-19T09:31:37.732422,1964,-16912,-3816,-2217,-1386,-797
2025-06-19T09:31:38.030875,1468,-16756,-4292,638,-2333,172
2025-06-19T09:31:38.258865,1600,-16696,-3788,1346,-4687,-633
2025-06-19T09:31:38.486797,1008,-16680,-3056,1079,-4238,70
2025-06-19T09:31:38.897986,1328,-16592,-2416,184,-3178,-328
2025-06-19T09:31:39.153578,964,-16724,-2356,-916,-187,-311
2025-06-19T09:31:39.459659,1220,-17144,-2632,-842,1022,17
2025-06-19T09:31:39.767329,1280,-16512,-2812,-928,1381,-292
2025-06-19T09:31:40.176109,944,-16796,-2988,-373,1647,-92
2025-06-19T09:31:40.431450,976,-16788,-3012,-508,-52,-120
2025-06-19T09:31:40.704443,864,-16744,-3016,-975,108,-122
2025-06-19T09:31:40.934076,1124,-16748,-3280,-725,-189,-447
2025-06-19T09:31:41.201748,828,-16692,-3424,-443,-263,24
2025-06-19T09:31:41.506393,1056,-16732,-3328,-716,-1573,-428
2025-06-19T09:31:41.780347,1008,-16960,-3944,371,564,-259
2025-06-19T09:31:42.009748,-104,-16880,-2896,127,-2559,19
2025-06-19T09:31:42.241737,1968,-16324,-2804,1704,2491,-389
2025-06-19T09:31:42.492974,3848,-15980,-4032,145,-580,-1823
2025-06-19T09:31:42.750865,596,-18564,-3412,-404,4538,699
2025-06-19T09:31:42.982128,2504,-16084,-1784,-2807,2690,-389
2025-06-19T09:31:43.247687,908,-17212,-2816,-3614,-3892,-1070
2025-06-19T09:31:43.476036,-412,-16440,-3704,-228,-3308,-171
2025-06-19T09:31:43.706010,4140,-16872,-2760,5050,-10867,2744
2025-06-19T09:31:43.948333,3280,-15352,-144,-640,-9919,612
2025-06-19T09:31:44.191655,1640,-15316,-2012,53,-3314,199
2025-06-19T09:31:44.527146,1968,-16256,-2312,1638,-1678,934
2025-06-19T09:31:44.860890,3220,-16124,-1648,-3607,3060,-1221
2025-06-19T09:31:45.133099,648,-16012,-3208,-73,-4179,-1119
2025-06-19T09:31:45.397600,1800,-19080,-4156,3584,-17837,-868
2025-06-19T09:31:45.705559,504,-14532,-2500,-837,-7693,-2255
2025-06-19T09:31:46.013004,2632,-16160,-2320,-1014,-4028,1000
2025-06-19T09:31:46.322771,748,-18620,-3156,812,591,733
2025-06-19T09:31:46.636308,4408,-14968,-2432,-867,7246,1109
2025-06-19T09:31:46.935294,1136,-16560,-3188,-1734,-7143,-493
